order_id,member_id,reservation_id,order_date,order_time,total_price,payment_status
1,3,1,12-02-2025,9:43 AM,10,PAID
2,7,3,12-02-2025,11:50 AM,6,PAID
3,12,11,12-04-2025,9:49 AM,4.5,PAID
4,5,7,12-03-2025,10:57 AM,13,REFUNDED
5,18,15,12-05-2025,10:11 AM,9,PAID
6,1,4,12-02-2025,12:37 PM,2,PAID
7,9,5,12-02-2025,2:20 PM,11,PAID
8,14,19,12-06-2025,12:58 PM,7,PAID
9,6,12,12-04-2025,11:28 AM,18,PAID
10,20,2,12-02-2025,11:09 AM,7.5,PAID
11,2,9,12-03-2025,1:52 PM,2.5,PAID
12,11,2,12-02-2025,11:18 AM,50,PAID
13,8,18,12-06-2025,10:27 AM,6.5,REFUNDED
14,15,8,12-03-2025,12:33 PM,3.25,PAID
15,4,16,12-05-2025,11:28 AM,11.25,PAID
16,17,10,12-03-2025,4:20 PM,12,PAID
17,13,6,12-03-2025,9:34 AM,13.5,PAID
18,10,14,12-04-2025,2:39 PM,3.5,PAID
19,7,3,12-02-2025,11:48 AM,6,UNPAID
20,19,13,12-04-2025,1:10 PM,22.5,UNPAID
