item_id,name,category,base_price,is_available
1,Hot Coffee,Coffee,2.50,1
2,Iced Coffee,Coffee,3.50,1
3,Hot Tea,Tea,2.25,1
4,Iced Tea,Tea,3.00,1
5,Muffin,Pastry,3.00,1
6,Croissant,Pastry,3.25,1
7,Donut,Pastry,1.75,0
8,Roll,Pastry,2.00,1
9,Breakfast Sandwich,Meal,7.50,1
10,Soup,Meal,4.50,1
11,Grilled Cheese,Meal,6.00,1
12,Fruit Cup,Meal,3.75,1
13,Salad,Meal,6.50,1
14,Granola Bowl,Meal,5.50,0
15,Paw Punch,Specialty Drink,4.50,1
16,Berry Smoothie,Specialty Drink,5.50,1
17,Rattlesnake Cocktail,Specialty Drink,9.00,0
18,Moscow Mule,Specialty Drink,10.00,1
19,Bee's Knees,Specialty Drink,10.00,0
20,Grasshopper,Specialty Drink,9.50,1
